input,output,A,B,C,D,source
党的十一届三中全会标志着中国共产党重新确立了马克思主义的思想路线、政治路线、组织路线，实现了新中国成立以来党的历史上具有深远意义的伟大转折，开启了我国改革开放和社会主义现代化建设的新时期。全会作出实行改革开放的历史性决策，是基于,ABCD,对党的和国家前途命运的深刻把握,对社会主义革命和建设实践的深刻总结,对时代潮流的深刻洞察,对人民群众期盼和需要的深刻体悟,2023UnifiedNationalGraduateEntranceExamination
社会主义道德是崭新类型的道德，与以往的社会道德形态相比，社会主义道德具有显著的先进性特征。先进性主要体现在,ABD,它是对人类优秀道德资源的批判继承和创新发展,它克服了以往阶级社会道德的片面性和局限性,它是调节社会一切行为规范的准则,它是社会主义经济基础的反映,2023UnifiedNationalGraduateEntranceExamination
法律义务是指由一定的社会物质生活条件所制约的社会责任，是保证法律所规定的义务人按照权利人要求从事一定行为或不从事一定行为以满足权利人权益的法律手段。正确的有,AC,法律义务必须依法设定,法律义务是一成不变的,法律义务源于现实需要,法律义务是义务人自主实施的行为,2023UnifiedNationalGraduateEntranceExamination
2022年8月10日，国务院台湾事务办公室，国务院新闻办公室发表《台湾问题与新时代中国统一事业》白皮书，该白皮书发表有利于,ABCD,揭批台独分裂势力和外部势力勾连挑衅，企图损害中国主权和领土完整，阻挠破坏中国统一进程和恶劣言行,最大限度争取两岸同胞，国际社会的理解和支持,展现中国共产党和中国政府愿继续以最大诚意，尽最大努力争取和平统一的立场和态度,提振全党全国各族人民矢志追求国家统一的精气神，增强岛内和海外反“独”促统力量的信心和勇气,2023UnifiedNationalGraduateEntranceExamination
2022年11月15日二十国集团领导人第十七次峰会在印度尼西亚巴厘岛举行，习大大出席并发表题为《共迎时代挑战，共建美好未来》的重要讲话，倡议推动,BCD,更具竞争的全球发展,更加包容的全球发展,C更加普惠的全球发展,更有韧性的全球发展,2023UnifiedNationalGraduateEntranceExamination
随着新一代人工智能技术的发展，基于大模型的生成式人工智能(AIGC)在快速回答提问、创作代码、翻唱经典歌曲等方面取得了新的突破。但是，随着技术迭代，人工智能高效地应用于各行各业时，其带来的风险也不容忽视，比如人工智能生成近似原画的内容、构图，可能侵犯原创作者的知识产权;人工智能技术被恶意使用，可能用来从事制造虚假信息、诈骗等违法活动。守住法律和伦理底线，推动人工智能朝着科技向善的方向发展，关键还在于人们更智慧地使用人工智能工具。“更智慧地使用人工智能工具”意味着,ABD,技术进步要以维护人民的根本利益为最高标准,人类活动能够实现合目的性与合规律性的统一,科技发展是由主观意志决定的客观物质活动,成功的实践是真理尺度与价值尺度的统一,2024UnifiedNationalGraduateEntranceExamination
茶叶，采自天然;茶器，匠心独具;茶艺，彬彬有礼。饮茶品茶，陶冶性情;以茶会友，品味人生。从山间一片叶，到万家杯中茶，茶叶的生长与旅行，讲述着关于文明与生活的故事，沉淀着中华文明独特的价值理念。有人说“离开了茶文化，茶叶就仅仅只是一片叶子”。从“一片叶子”到“茶文化”表明,ACD,观念的东西不外是移入人脑并经过人脑改造过的物质的东西而已,世界上一切事物所具有的特定意义只是经验外化于对象的意义,客体潜在的价值转化为现实的价值，依赖于实践基础上的主体创造,客体的价值及价值大小，取决于客体的属性及满足主体需要的程度,2024UnifiedNationalGraduateEntranceExamination
习近平指出：“人类文明多样性是世界的基本特征，也是人类进步的源泉。世界上有200多个国家和地区、2500多个民族、多种宗教。不同历史和国情，不同民族和习俗，孕育了不同文明，使世界更加丰富多彩。”唯物史观关于社会形态的理论中，内在地包含着文明多样性的思想。下列关于人类文明多样性表述正确的有,AC,独特的生产方式和生活方式决定着文明发展的不同样态,各种文明都具有独自的比其他文明更优越、更强大的文化基因,每一种文明都代表着一方文化的独特性，是人类文明的重要组成部分,每一种文明都是在与其他文明相隔离的状态下独自产生、发展和演变的,2024UnifiedNationalGraduateEntranceExamination
商品经济是社会经济发展到一定阶段的产物。在资本主义社会之前的发展阶段，商品经济只是一种简单商品经济，这一阶段商品经济发展的基础是,BC,生产资料公有制,个体劳动,生产资料私有制,雇佣劳动,2024UnifiedNationalGraduateEntranceExamination
习近平指出：“经济全球化是社会生产力发展的客观要求和科技进步的必然结果，不是哪些人、哪些国家人为制造出来的。经济全球化为世界经济增长提供了强劲动力，促进了商品和资本流动、科技和文明进步、各国人民交往。”导致经济全球化迅猛发展的因素有,ABD,信息技术革命打破了生产要素的地域限制，使整个世界生产连成一片,国际分工和生产要素全球流动的比较优势，促进了产业链深度融合,发达国家主导制定的贸易和竞争规则，使广大发展中国家成为主要受益者,国际经济组织成员国对本国或本地区市场控制的放松，加快了贸易投资自由化,2024UnifiedNationalGraduateEntranceExamination
毛泽东在谈到党对民主革命规律的认识时指出，从党的建立到抗日时期，我们经过了两次胜利两次失败。“在抗日时期，我们才制定了合乎情况的党的总路线和一整套具体政策。这时候，中国民主革命这个必然王国才被我们认识，我们才有了自由”。这表明,BCD,党已完全掌握了新民主主义革命的发展规律,马克思主义必须与中国革命具体实际相结合,党对民主革命规律的认识必须有一个过程,新民主主义革命理论是总结正反两方面经验形成的,2024UnifiedNationalGraduateEntranceExamination
"今年以来，我国经济持续回升向好，高质量发展扎实推进，我国仍是全球增长最大引擎。据权威部门统计，前三季度我国国内生产总值同比增长5.2%;全国居民人均可支配收入同比实际增长5.9%;高技术产业投资增长11.4%。前10个月社会物流总额同比增长4.9%,物流需求恢复向好，行业提质升级加速。总体上看，我国经济长期向好的基本面没有变也不会变，因为我国具有",ABCD,超大规模市场的需求优势,产业体系配套完整的供给优势,社会主义市场经济的体制优势,大量高素质劳动者和企业家的人才优势,2024UnifiedNationalGraduateEntranceExamination
2023年5月29日，习近平总书记在二十届中央政治局第五次集体学习时指出，当今时代，人才是第一资源，科技是第一生产力，创新是第一动力，要把建设教育强国、科技强国、人才强国有机结合起来，一体统筹推进，形成推动高质量发展的倍增效应。在全面建设社会主义现代化国家进程中，坚持教育、科技、人才一体推进是因为,ABCD,教育、科技、人才三者之间具有一致性和相互支撑性,教育、科技、人才在综合国力竞争中的关键性地位更加凸显,教育、科技、人才是全面建设社会主义现代化国家的基础性和战略性支撑,把教育、科技、人才摆在经济社会发展重要位置是社会主义现代化建设的历史经验,2024UnifiedNationalGraduateEntranceExamination
"党的二十大以来，习近平总书记到不同省区市深入考察时，多次强调各地要立足自身实际牢牢把握在国家发展大局中的战略定位。比如，要求浙江“要在以科技创新塑造发展新优势上走在前列”,强调内蒙古发展的重中之重是“做大做强国家重要能源基地”,指出黑龙江“要当好国家粮食安全‘压舱石’”,等等。习近平总书记的重要指示，为中国式现代化的地方实践提供了根本遵循。准确把握各地区在国家发展大局中的战略定位有利于",ABC,发挥各地比较优势，塑造我国发展新优势,优化区域经济布局，拓展我国发展动力源,统筹发展和安全，掌握我国发展主动权,同步实现共同富裕，推动我国发展迈上新台阶,2024UnifiedNationalGraduateEntranceExamination
加快发展数字经济是我国建设现代化产业体系的重要内容。根据《中国互联网发展报告2023》，截至2022年底，中国数据产量和算力总规模均居世界第二。十年间，中国数字经济规模从11万亿元增长到50.2万亿元，占国内生产总值比重达到41.5%。数字经济的快速发展充分表明,ABD,数据已成为新的生产要素,数字经济正在成为新一轮国际竞争的重点领域,数字经济已取代实体经济,数字经济是稳增长促转型的重要引擎,2024UnifiedNationalGraduateEntranceExamination
1924年至1927年由国共两党合作发动的大茧命。在中国大地上掀起了反帝反封建的伟大斗争，在中国革命史上写下了光荣的一页。与辛亥革命相比，大革命,ABD,斗争的规模更加宏伟,革命的社会内涵更为深刻,斗争的形式更加隐蔽,群众的动员程度更为广泛,2024UnifiedNationalGraduateEntranceExamination
社会主义改造基本完成以后，中国共产党面临如何进行社会主义建设的问题。毛泽东明确提出：“现在是社会主义革命和建设时期，我们要进行第二次结合，找出在中国怎样建设社会主义的道路。”1956年.以毛泽东同志为主要代表的中国共产党人提出了一系列关于社会主义建设的重要方针，其中包括,ACD,在经济建设上实行“既反保守又反冒进”的方针,在对外关系上实行“一边倒”的方针,在科学文化工作中实行“百花齐放、百家争鸣”的方针,在党与民主党派的关系上实行“长期共存、互相监督”的方针,2024UnifiedNationalGraduateEntranceExamination
1939年10月，毛泽东在《<共产党人>发刊词》中，把党的建设称为“伟大工程”。2022年10月，习近平总书记在党的二十大报告中指出，必须持之以恒推进全面从严治党，深入推进新时代党的建设新的伟大工程，以党的自我革命引领社会革命。下列关于党的自我革命的正确表述有,ABD,勇于自我革命是中国共产党区别于其他政党的显著标志,自我革命精神是党永葆青春活力的强大支撑,所有政党都是在不断自我革命中淬炼而成的,自我革命是我们党跳出历史周期率的第二个答案,2024UnifiedNationalGraduateEntranceExamination
中华传统美德蕴含着丰富的思想道德资源，对于我们今天的道德建设具有重要价值。习近平总书记指出：“要继承和弘扬我国人民在长期实践中培养和形成的传统美德，坚持马克思主义道德观、坚持社会主义道德观，在去粗取精、去伪存真的基础上，坚持古为今用、推陈出新，努力实现中华传统美德的创造性转化、创新性发展”。中华传统美德的“创造性转化、创新性发展”体现为,ABC,对中华传统美德中具有当代价值的道德精神加以挖掘,赋予中华传统美德新的时代内涵,用中华传统美德滋养社会主义道德建设,形成以中国传统文化为主体的道德体系,2024UnifiedNationalGraduateEntranceExamination
《中华人民共和国爱国主义教育法》由中华人民共和国第十四届全国人民代表大会常务委员会第六次会议于2023年10月24日通过，自2024年1月1日起施行。这是新时代加强爱国主义教育，传承和弘扬爱国主义精神，实现中华民族伟大复兴中国梦的必然要求。下列关于爱国主义教育法表述正确的有,ABCD,爱国主义教育法是社会主义核心价值观入法的具体体现,爱国主义教育法有利于维护国家统一和民族团结,爱国主义教育法是惩治危害国家安全、荣誉和利益行为的法律武器,爱国主义教育法为加强新时代爱国主义教育提供了法治保障,2024UnifiedNationalGraduateEntranceExamination
2023年4月3日，学习贯彻习近平新时代中国特色社会主义思想主题教育工作会议在北京召开。会议强调，这次主题教育要牢牢把握“学思想、强党性、重实践、建新功”的总要求。要全面学习领会习近平新时代中国特色社会主义思想，全面系统掌握这一思想的基本观点、科学体系，把握好这一思想的世界观、方法论，坚持好、运用好贯穿其中的立场观点方法，不断增进对党的创新理论的,ABCD, 政治认同, 思想认同, 理论认同, 情感认同,2024UnifiedNationalGraduateEntranceExamination
在中方支持下，2023年3月6日至10日，沙特阿拉伯与伊朗在北京举行对话。3月10日，中沙伊三方签署并发表联合声明，宜布沙伊双方同意恢复外交关系。这是党的二十大后中国外交的“大手笔”。中方推动沙伊握手言和的重要意义表现在,ACD,创造了调解冲突的新范式，为其他地区热点问题的解决提供了新思路,使沙伊矛盾得以最终解决,助力中东地区实现和平、稳定与安全,为国际社会注入和平合作的正能量,2024UnifiedNationalGraduateEntranceExamination
